               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.047649,            0.015591,           0.0074909,             0.71926,              0.8656,             0.81734,              0.4147,            0.050605,           0.0075386,           0.0050682,            0.008845,            0.008845,            0.008845
                  37,            0.054237,             0.01635,           0.0072105,              0.5968,             0.89657,             0.79656,             0.48201,            0.045589,           0.0068282,           0.0053008,            0.008812,            0.008812,            0.008812
                  38,            0.047201,            0.019456,           0.0070954,             0.68729,             0.77401,             0.79925,             0.47458,            0.041408,           0.0067135,           0.0042118,            0.008779,            0.008779,            0.008779
                  39,            0.045997,            0.014064,           0.0068009,             0.83129,             0.78983,             0.92199,             0.65228,            0.036308,           0.0060212,           0.0034548,            0.008746,            0.008746,            0.008746
                  40,            0.041103,            0.016812,            0.007125,             0.68277,             0.81312,             0.85076,             0.52532,            0.037639,           0.0062071,           0.0033252,            0.008713,            0.008713,            0.008713
                  41,            0.043049,            0.013332,           0.0084422,             0.79558,             0.97581,             0.92085,             0.63097,            0.043863,           0.0062737,           0.0029006,             0.00868,             0.00868,             0.00868
                  42,            0.046563,            0.015459,           0.0062225,              0.7714,             0.81195,             0.89263,             0.60217,            0.043552,           0.0063078,           0.0027326,            0.008647,            0.008647,            0.008647
                  43,            0.042708,            0.017071,            0.006797,             0.81178,             0.93643,             0.94759,             0.59013,            0.040561,           0.0066517,           0.0024997,            0.008614,            0.008614,            0.008614
                  44,            0.043484,            0.014894,           0.0058283,             0.71381,             0.90179,             0.90023,              0.5791,            0.042951,           0.0066003,           0.0026379,            0.008581,            0.008581,            0.008581
                  45,            0.044376,            0.015286,           0.0068201,             0.82888,             0.90085,              0.9441,              0.6162,            0.039588,           0.0068031,            0.002908,            0.008548,            0.008548,            0.008548
                  46,            0.040362,              0.0165,           0.0054278,             0.87534,             0.95493,             0.94444,             0.53428,            0.042855,           0.0069813,           0.0030466,            0.008515,            0.008515,            0.008515
                  47,            0.038543,            0.012102,           0.0048087,             0.75902,             0.94835,             0.93969,             0.73591,              0.0364,           0.0061842,           0.0030405,            0.008482,            0.008482,            0.008482
                  48,            0.043075,            0.016006,           0.0061368,             0.94076,             0.99962,             0.99063,             0.54332,            0.044255,           0.0061828,           0.0026418,            0.008449,            0.008449,            0.008449
                  49,            0.047595,            0.015335,           0.0049327,             0.97756,             0.94044,             0.99063,             0.61623,            0.040442,           0.0062362,           0.0027628,            0.008416,            0.008416,            0.008416
                  50,            0.041868,            0.016969,            0.005104,             0.93821,             0.99934,               0.995,             0.68148,            0.032246,           0.0056251,           0.0027327,            0.008383,            0.008383,            0.008383
                  51,            0.039039,            0.014913,           0.0049516,             0.96279,                   1,               0.995,             0.61368,            0.037194,           0.0057644,           0.0024142,             0.00835,             0.00835,             0.00835
                  52,            0.044379,            0.018654,           0.0040394,             0.95211,             0.99962,             0.98806,             0.36181,            0.043998,           0.0063178,           0.0024102,            0.008317,            0.008317,            0.008317
                  53,            0.049229,            0.015809,            0.004296,             0.89284,             0.99939,             0.98729,              0.6065,            0.038939,            0.005896,           0.0022974,            0.008284,            0.008284,            0.008284
                  54,            0.043649,            0.015039,           0.0083558,             0.93287,             0.95069,             0.97708,             0.68008,            0.035766,           0.0058801,           0.0021415,            0.008251,            0.008251,            0.008251
                  55,              0.0364,            0.013425,           0.0050378,             0.96642,             0.94123,             0.97894,             0.73924,            0.030322,           0.0053888,           0.0022538,            0.008218,            0.008218,            0.008218
                  56,            0.035465,            0.015933,           0.0042751,             0.92254,                   1,             0.98722,             0.65467,            0.033017,           0.0056143,            0.002674,            0.008185,            0.008185,            0.008185
                  57,            0.039672,            0.015144,           0.0043466,             0.75472,             0.98544,             0.92679,             0.52882,            0.042451,            0.005712,           0.0024012,            0.008152,            0.008152,            0.008152
                  58,            0.038537,            0.014161,            0.004032,             0.91299,              0.9724,               0.995,             0.70544,              0.0358,           0.0059849,           0.0029781,            0.008119,            0.008119,            0.008119
                  59,            0.032564,            0.014358,           0.0038361,             0.90024,             0.97039,             0.97674,             0.72317,            0.030454,           0.0058972,           0.0027743,            0.008086,            0.008086,            0.008086
                  60,            0.037133,            0.015515,           0.0038572,              0.9134,             0.97631,             0.99167,             0.74611,            0.035121,           0.0058815,           0.0025844,            0.008053,            0.008053,            0.008053
                  61,            0.036287,            0.013161,           0.0039636,             0.89084,             0.99893,             0.96306,             0.72219,            0.030935,           0.0057166,           0.0025935,             0.00802,             0.00802,             0.00802
                  62,            0.031788,            0.013802,           0.0040134,             0.98485,             0.97938,               0.995,             0.77652,            0.030697,           0.0053358,           0.0025546,            0.007987,            0.007987,            0.007987
                  63,            0.032168,            0.012842,           0.0042044,             0.95294,                   1,             0.98188,             0.78961,            0.026592,           0.0052536,           0.0025467,            0.007954,            0.007954,            0.007954
                  64,            0.033263,            0.013616,           0.0036104,             0.81121,             0.96875,                0.89,             0.59531,            0.035875,           0.0058588,           0.0023703,            0.007921,            0.007921,            0.007921
                  65,            0.037245,             0.01475,           0.0038545,             0.85137,             0.99936,             0.97722,               0.708,            0.032178,           0.0056523,           0.0022327,            0.007888,            0.007888,            0.007888
                  66,            0.033093,            0.013614,           0.0053714,             0.88217,             0.93938,               0.995,             0.80764,            0.031806,            0.005907,           0.0027308,            0.007855,            0.007855,            0.007855
                  67,            0.031517,            0.013227,           0.0036013,             0.98246,             0.88553,             0.97438,             0.73881,            0.031013,           0.0058288,           0.0035696,            0.007822,            0.007822,            0.007822
                  68,            0.035598,            0.015767,           0.0048443,             0.98637,             0.92324,               0.995,             0.69125,            0.031981,           0.0063267,           0.0030038,            0.007789,            0.007789,            0.007789
                  69,             0.03806,            0.016677,           0.0035824,             0.90931,              0.8833,               0.962,             0.64462,            0.038492,            0.006601,           0.0025959,            0.007756,            0.007756,            0.007756
                  70,            0.038111,            0.016316,           0.0037137,             0.88559,                   1,               0.962,             0.67898,            0.031819,           0.0061882,           0.0021238,            0.007723,            0.007723,            0.007723
